date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:05	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202026%2020:42:08%20GMT	https://6a6b6958e14b7.site123.me/robots.txt		(from )
15:42:06	67938/67938	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202026%2020:42:09%20GMT	https://6a6b6958e14b7.site123.me/	C:/Impactando%20las%20naciones/6a6b6958e14b7.site123.me/index.html	(from )
15:42:06	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2004%20Aug%202026%2020:42:09%20GMT	https://6a6b6958e14b7.site123.me/https:	C:/Impactando%20las%20naciones/6a6b6958e14b7.site123.me/https_	(from https://6a6b6958e14b7.site123.me/)
15:42:07	9062/9062	---MCZ	200	added ('OK')	text/css	etag:%222366-6580e8e647a80-gzip%22	https://cdn-cms-s-8-4.f-static.net/versions/2/system_mini/css/minimize_appBuilder_v3.css?v=vc1785671600	C:/Impactando%20las%20naciones/cdn-cms-s-8-4.f-static.net/versions/2/system_mini/css/minimize_appBuilder_v3262a.css	(from https://6a6b6958e14b7.site123.me/)
15:42:07	71277/71277	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202026%2020:42:10%20GMT	https://cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/minimize_css/index.css?t=css_y254_65606593&w=12291293	C:/Impactando%20las%20naciones/cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/minimize_css/index7f4a.css	(from https://6a6b6958e14b7.site123.me/)
15:42:08	73890/73890	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20Dec%202024%2022:44:28%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	C:/Impactando%20las%20naciones/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.7.2/css/all.min.css	(from https://6a6b6958e14b7.site123.me/)
15:42:08	1859/1859	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202026%2020:42:11%20GMT	https://cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/theme.css?t=css_y254_65606593&w=12291293	C:/Impactando%20las%20naciones/cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/theme7f4a.css	(from https://6a6b6958e14b7.site123.me/)
15:42:09	577/577	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202026%2020:42:12%20GMT	https://cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/main.css?t=css_y254_65606593&w=12291293	C:/Impactando%20las%20naciones/cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/main7f4a.css	(from https://6a6b6958e14b7.site123.me/)
15:42:09	5036/5036	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202026%2020:42:12%20GMT	https://cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/components.css?t=css_y254_65606593&w=12291293	C:/Impactando%20las%20naciones/cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/components7f4a.css	(from https://6a6b6958e14b7.site123.me/)
15:42:09	1011/1011	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202026%2020:42:12%20GMT	https://cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/layout.css?t=css_y254_65606593&w=12291293	C:/Impactando%20las%20naciones/cdn-cms-s-8-4.f-static.net/manager/ai_app_builder/v3/assets/css/layout7f4a.css	(from https://6a6b6958e14b7.site123.me/)
